% Model:              Test1_updated.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 4 2024, 11:00
% Dimension:          1
% Nodes:              1022
% Expressions:        1
% Description:        Function
% t                       int1(t)
1.615150017047392E-7      -0.18066073389021492
1.631505966587114E-7      -0.1891903615751799
1.6478619161268316E-7     -0.1977199892601427
1.6642178656665514E-7     -0.20624961694510657
1.6805738152062733E-7     -0.2147792446300716
1.696929764745993E-7      -0.2233088723150355
1.713285714285713E-7      -0.23224504285714218
1.7296416638254348E-7     -0.24127516259802262
1.7459976133651546E-7     -0.2503052823389019
1.7623535629048745E-7     -0.25933540207978123
1.7950654619843162E-7     -0.27739564156154095
1.827777361063758E-7      -0.2957919871121722
1.8604892601431996E-7     -0.3142480405727932
1.8932011592226392E-7     -0.332704094033413
1.925913058302081E-7      -0.3509217473576549
1.9586249573815227E-7     -0.36907685134674506
1.9913368564609602E-7     -0.38723195533583293
2.024048755540402E-7      -0.4045982601431979
2.0567606546198436E-7     -0.4216804138424824
2.0894725536992832E-7     -0.4387625675417657
2.122184452778725E-7      -0.4545668967609956
2.1548963518581667E-7     -0.4697648450733042
2.1876082509376063E-7     -0.4849627933856118
2.220320150017048E-7      -0.49847010521650204
2.2530320490964897E-7     -0.5109464235254012
2.2857439481759293E-7     -0.5234227418342995
2.318455847255369E-7      -0.5339021374701668
2.3511677463348107E-7     -0.5428390282986704
2.3838796454142524E-7     -0.5517759191271737
2.416591544493692E-7      -0.5585277035458575
2.4493034435731337E-7     -0.5631564372655984
2.4820153426525754E-7     -0.5677851709853394
2.5E-7                    -0.57033
2.531083191271737E-7      -0.5699725433003751
2.5637950903511766E-7     -0.5695963564609615
2.5965069894306183E-7     -0.569220169621548
2.629218888510058E-7      -0.5638533966246164
2.6619307875894975E-7     -0.5578900174224346
2.694642686668939E-7      -0.5519266382202525
2.727354585748381E-7      -0.5409272797817933
2.7600664848278206E-7     -0.5289416399590867
2.7927783839072623E-7     -0.5169560001363792
2.825490282986704E-7      -0.5000583827821339
2.8582021820661436E-7     -0.48176916000681913
2.8909140811455853E-7     -0.4634799372315031
2.923625980225027E-7      -0.4405789231162619
2.9563378793044667E-7     -0.4159043376406406
2.9890497783839063E-7     -0.3912297521650193
3.021761677463348E-7      -0.3623834531196726
3.0544735765427897E-7     -0.33143799659052087
3.0871854756222293E-7     -0.300492540061371
3.119897374701671E-7      -0.26593571002386585
3.152609273781113E-7      -0.22905304381179536
3.1853211728605524E-7     -0.19217037759972724
3.218033071939994E-7      -0.15231171352539952
3.250744971019436E-7      -0.11003060260824875
3.2834568700988733E-7     -0.06774949169110345
3.316168769178315E-7      -0.023175972679851074
3.348880668257757E-7      0.023743031288783186
3.3815925673371964E-7     0.07066203525741441
3.414304466416638E-7      0.11919243736788288
3.44701636549608E-7       0.16979643676781597
3.4797282645755194E-7     0.22040043616774582
3.512440163654961E-7      0.27197526593931215
3.5615080122741227E-7     0.35171051994544955
3.6E-7                    0.41426
3.643287759972724E-7      0.48628217504261795
3.6923556085918854E-7     0.5679212615751787
3.741423457211047E-7      0.6493905119331744
3.7904913058302084E-7     0.7308284202863967
3.83955915444937E-7       0.8103041945789302
3.8886270030685315E-7     0.8893083376406421
3.937694851687691E-7      0.9646824664848263
3.9867627003068524E-7     1.0389613757245133
